Wahlkreisnummer,Wahlkreisname,Wahlberechtigte,Wahlberechtigte ohne Wahlschein,Wahlberechtigte mit Wahlschein,Wahlberechtigte nach §25 Abs.2 BWO,Wähler(innen),Wähler(innen) mit Wahlschein,Ungültige Erststimmen,Gültige Erststimmen,CDU Erststimmen,SPD Erststimmen,GRÜNE Erststimmen,FDP Erststimmen,AfD Erststimmen,Die Linke Erststimmen,dieBasis Erststimmen,FREIE WÄHLER Erststimmen,Tierschutzpartei Erststimmen,Die PARTEI Erststimmen,Volt Erststimmen,ÖDP Erststimmen,Bündnis C Erststimmen,MLPD Erststimmen,BÜNDNIS DEUTSCHLAND Erststimmen,BSW Erststimmen,FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah Erststimmen,Initiative Gegenwind Erststimmen,Parteilos Erststimmen,Volkmar Raidt Erststimmen,WIR SIND ZUSAMMEN STARK (WSZ) Erststimmen,Ungültige Zweitstimmen,Gültige Zweitstimmen,CDU Zweitstimmen,SPD Zweitstimmen,GRÜNE Zweitstimmen,FDP Zweitstimmen,AfD Zweitstimmen,Die Linke Zweitstimmen,dieBasis Zweitstimmen,FREIE WÄHLER Zweitstimmen,Tierschutzpartei Zweitstimmen,Die PARTEI Zweitstimmen,Volt Zweitstimmen,ÖDP Zweitstimmen,Bündnis C Zweitstimmen,MLPD Zweitstimmen,BÜNDNIS DEUTSCHLAND Zweitstimmen,BSW Zweitstimmen,FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah Zweitstimmen,Initiative Gegenwind Zweitstimmen,Parteilos Zweitstimmen,Volkmar Raidt Zweitstimmen,WIR SIND ZUSAMMEN STARK (WSZ) Zweitstimmen
258,Stuttgart I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Stuttgart II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Böblingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Esslingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Nürtingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Göppingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Waiblingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Ludwigsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Neckar-Zaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Heilbronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Schwäbisch Hall-Hohenlohe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Backnang-Schwäbisch Gmünd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Aalen-Heidenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Karlsruhe-Stadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Karlsruhe-Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Rastatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Heidelberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Mannheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Odenwald-Tauber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Rhein-Neckar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Bruchsal-Schwetzingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Pforzheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Calw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Lörrach-Müllheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Emmendingen-Lahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Offenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Rottweil-Tuttlingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Schwarzwald-Baar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Konstanz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Waldshut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Reutlingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Tübingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Ulm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Biberach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Bodensee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Ravensburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
